Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link 
Onthophagus binodis,"HiC reads of Onthophagus binodis: male pupa, technical replicate 2",Indiana University,Onthophagus binodis isolate:ObM1 Genome sequencing,345.06,ObinM_HiC_2,Hi-C,GENOMIC,SRX30208641,https://www.ncbi.nlm.nih.gov/sra/SRX30208641[accn]
Onthophagus binodis,"HiC reads of Onthophagus binodis: male pupa, technical replicate 1",Indiana University,Onthophagus binodis isolate:ObM1 Genome sequencing,4857.34,ObinM_HiC_1,Hi-C,GENOMIC,SRX30208640,https://www.ncbi.nlm.nih.gov/sra/SRX30208640[accn]
Onthophagus binodis,PacBio HiFi Reads of Onthophagus binodis: male pupa,Indiana University,Onthophagus binodis isolate:ObM1 Genome sequencing,18601.18,ObinM_PB,WGS,GENOMIC,SRX30208639,https://www.ncbi.nlm.nih.gov/sra/SRX30208639[accn]
Onthophagus binodis,"HiC reads of Onthophagus binodis: female pupa, technical replicate 2",Indiana University,Onthophagus binodis isolate:F1 Genome sequencing,5050.82,ObinF_HiC_2,Hi-C,GENOMIC,SRX30207501,https://www.ncbi.nlm.nih.gov/sra/SRX30207501[accn]
Onthophagus binodis,"HiC reads of Onthophagus binodis: female pupa, technical replicate 1",Indiana University,Onthophagus binodis isolate:F1 Genome sequencing,356.82,ObinF_HiC_1,Hi-C,GENOMIC,SRX30207500,https://www.ncbi.nlm.nih.gov/sra/SRX30207500[accn]
Onthophagus binodis,PacBio HiFi Reads of Onthophagus binodis: female pupa,Indiana University,Onthophagus binodis isolate:F1 Genome sequencing,21712.06,ObinF_PB,WGS,GENOMIC,SRX30207499,https://www.ncbi.nlm.nih.gov/sra/SRX30207499[accn]
Onthophagus bivertex, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2100.95,Obiv-L-Female6,RNA-Seq,TRANSCRIPTOMIC,SRX31027659,https://www.ncbi.nlm.nih.gov/sra/SRX31027659[accn]
Onthophagus bivertex, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1997.92,Obiv-L-Female5,RNA-Seq,TRANSCRIPTOMIC,SRX31027658,https://www.ncbi.nlm.nih.gov/sra/SRX31027658[accn]
Onthophagus bivertex, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1771.51,Obiv-L-Female4,RNA-Seq,TRANSCRIPTOMIC,SRX31027657,https://www.ncbi.nlm.nih.gov/sra/SRX31027657[accn]
Onthophagus bivertex, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1713.05,Obiv-L-Female3,RNA-Seq,TRANSCRIPTOMIC,SRX31027656,https://www.ncbi.nlm.nih.gov/sra/SRX31027656[accn]
Onthophagus bivertex, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1676.21,Obiv-L-Female2,RNA-Seq,TRANSCRIPTOMIC,SRX31027655,https://www.ncbi.nlm.nih.gov/sra/SRX31027655[accn]
Onthophagus bivertex, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2141.23,Obiv-L-Female1,RNA-Seq,TRANSCRIPTOMIC,SRX31027654,https://www.ncbi.nlm.nih.gov/sra/SRX31027654[accn]
Onthophagus bivertex, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2099.75,Obiv-H-Female4,RNA-Seq,TRANSCRIPTOMIC,SRX31027653,https://www.ncbi.nlm.nih.gov/sra/SRX31027653[accn]
Onthophagus bivertex, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2148.42,Obiv-H-Female3,RNA-Seq,TRANSCRIPTOMIC,SRX31027652,https://www.ncbi.nlm.nih.gov/sra/SRX31027652[accn]
Onthophagus bivertex, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2098.75,Obiv-H-Female2,RNA-Seq,TRANSCRIPTOMIC,SRX31027651,https://www.ncbi.nlm.nih.gov/sra/SRX31027651[accn]
Onthophagus bivertex, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus bivertex,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1909.91,Obiv-H-Female1,RNA-Seq,TRANSCRIPTOMIC,SRX31027650,https://www.ncbi.nlm.nih.gov/sra/SRX31027650[accn]
Onthophagus cf. bicavifrons,OnbicSTL10006,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),1343.15,S3977,Targeted-Capture,GENOMIC,SRX22207675,https://www.ncbi.nlm.nih.gov/sra/SRX22207675[accn]
Onthophagus curvicornis,Onthophagus curvicornis adult female fatty body estimulated,Universidad del Quindio,Bioprospeccion de peptidos antimicrobianos de escarabajos coprofagos del paisaje cultural cafetero,9806.87,O_curv_estim,RNA-Seq,TRANSCRIPTOMIC,SRX5291034,https://www.ncbi.nlm.nih.gov/sra/SRX5291034[accn]
Onthophagus curvicornis,Onthophagus curvicornis adult female fatty body,Universidad del Quindio,Bioprospeccion de peptidos antimicrobianos de escarabajos coprofagos del paisaje cultural cafetero,7831.87,O_curv_control,RNA-Seq,TRANSCRIPTOMIC,SRX5291033,https://www.ncbi.nlm.nih.gov/sra/SRX5291033[accn]
Onthophagus ferox,OnferCOL3469,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),200.08,S3866,Targeted-Capture,GENOMIC,SRX22207676,https://www.ncbi.nlm.nih.gov/sra/SRX22207676[accn]
Onthophagus granulatus,OngraCOL3804,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),748.26,S3818,Targeted-Capture,GENOMIC,SRX22207677,https://www.ncbi.nlm.nih.gov/sra/SRX22207677[accn]
Onthophagus nigriventris,Onthophagus nigriventris library D,Washington State University,Onthophagus nigriventris Transcriptome or Gene expression,354.39,O_nig_454_3L_female,RNA-Seq,TRANSCRIPTOMIC,SRX391979,https://www.ncbi.nlm.nih.gov/sra/SRX391979[accn]
Onthophagus nigriventris,Onthophagus nigriventris library C,Washington State University,Trypoxylus dichotomus Transcriptome or Gene expression,255.7,O_nig_454_male_3L,RNA-Seq,TRANSCRIPTOMIC,SRX391958,https://www.ncbi.nlm.nih.gov/sra/SRX391958[accn]
Onthophagus nigriventris,Onthophagus nigriventris 454 Transcriptome,Washington State University,Onthophagus nigriventris Transcriptome or Gene expression,323.25,O_nig_454_female_pp,RNA-Seq,TRANSCRIPTOMIC,SRX391957,https://www.ncbi.nlm.nih.gov/sra/SRX391957[accn]
Onthophagus nigriventris,Onthophagus nigriventris 454 transcriptome sequencing,Washington State University,Onthophagus nigriventris Transcriptome or Gene expression,296.43,O_nig_454_male_pp,RNA-Seq,TRANSCRIPTOMIC,SRX391791,https://www.ncbi.nlm.nih.gov/sra/SRX391791[accn]
Onthophagus orpheus,Orpheus_1_A01,Clark University,Onthophagus orpheus reference genome,8648.77,Orpheus_1_A01,WGS,GENOMIC,SRX31642231,https://www.ncbi.nlm.nih.gov/sra/SRX31642231[accn]
Onthophagus probus,OnproSTL10015,University of Helsinki,Historical DNA of Dung Beatles (Coleoptera:Scarabaeidae:Scarabaeinae),529.4,S4007,Targeted-Capture,GENOMIC,SRX22207678,https://www.ncbi.nlm.nih.gov/sra/SRX22207678[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1681.39,Orec-L-Female1,RNA-Seq,TRANSCRIPTOMIC,SRX31027666,https://www.ncbi.nlm.nih.gov/sra/SRX31027666[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1674.27,Orec-H-Female3,RNA-Seq,TRANSCRIPTOMIC,SRX31027665,https://www.ncbi.nlm.nih.gov/sra/SRX31027665[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1871.15,Orec-H-Female2,RNA-Seq,TRANSCRIPTOMIC,SRX31027664,https://www.ncbi.nlm.nih.gov/sra/SRX31027664[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1676.08,Orec-H-Female1,RNA-Seq,TRANSCRIPTOMIC,SRX31027663,https://www.ncbi.nlm.nih.gov/sra/SRX31027663[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from low-nutrition: late prepupal male Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1773.23,Orec-L-male3,RNA-Seq,TRANSCRIPTOMIC,SRX31027662,https://www.ncbi.nlm.nih.gov/sra/SRX31027662[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from low-nutrition: late prepupal male Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1745.77,Orec-L-male2,RNA-Seq,TRANSCRIPTOMIC,SRX31027661,https://www.ncbi.nlm.nih.gov/sra/SRX31027661[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from low-nutrition: late prepupal male Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1780.51,Orec-L-male1,RNA-Seq,TRANSCRIPTOMIC,SRX31027660,https://www.ncbi.nlm.nih.gov/sra/SRX31027660[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from high-nutrition: late prepupal male Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1829.21,Orec-H-male3,RNA-Seq,TRANSCRIPTOMIC,SRX31027649,https://www.ncbi.nlm.nih.gov/sra/SRX31027649[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1807.23,Orec-L-Female3,RNA-Seq,TRANSCRIPTOMIC,SRX31027640,https://www.ncbi.nlm.nih.gov/sra/SRX31027640[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1687.52,Orec-L-Female2,RNA-Seq,TRANSCRIPTOMIC,SRX31027639,https://www.ncbi.nlm.nih.gov/sra/SRX31027639[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from high-nutrition: late prepupal male Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1621.34,Orec-H-male2,RNA-Seq,TRANSCRIPTOMIC,SRX31027638,https://www.ncbi.nlm.nih.gov/sra/SRX31027638[accn]
Onthophagus rectecornutus, postero-dorsal head epidermis from high-nutrition: late prepupal male Onthophagus rectecornutus,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1737.11,Orec-H-male1,RNA-Seq,TRANSCRIPTOMIC,SRX31027637,https://www.ncbi.nlm.nih.gov/sra/SRX31027637[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2063.16,Osag-L-Female3,RNA-Seq,TRANSCRIPTOMIC,SRX31027648,https://www.ncbi.nlm.nih.gov/sra/SRX31027648[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1644.5,Osag-L-Female2,RNA-Seq,TRANSCRIPTOMIC,SRX31027647,https://www.ncbi.nlm.nih.gov/sra/SRX31027647[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from low-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2280.73,Osag-L-Female1,RNA-Seq,TRANSCRIPTOMIC,SRX31027646,https://www.ncbi.nlm.nih.gov/sra/SRX31027646[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2117.4,Osag-H-Female5,RNA-Seq,TRANSCRIPTOMIC,SRX31027645,https://www.ncbi.nlm.nih.gov/sra/SRX31027645[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,2098.76,Osag-H-Female4,RNA-Seq,TRANSCRIPTOMIC,SRX31027644,https://www.ncbi.nlm.nih.gov/sra/SRX31027644[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1908.76,Osag-H-Female3,RNA-Seq,TRANSCRIPTOMIC,SRX31027643,https://www.ncbi.nlm.nih.gov/sra/SRX31027643[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1818.99,Osag-H-Female2,RNA-Seq,TRANSCRIPTOMIC,SRX31027642,https://www.ncbi.nlm.nih.gov/sra/SRX31027642[accn]
Onthophagus sagittarius, postero-dorsal head epidermis from high-nutrition: late prepupal female Onthophagus sagittarius,Southwest university,RNA-seq of scarab beetles under high- or low-nutrient,1700.07,Osag-H-Female1,RNA-Seq,TRANSCRIPTOMIC,SRX31027641,https://www.ncbi.nlm.nih.gov/sra/SRX31027641[accn]
Onthophagus sagittarius,Dovetail OmniC reads of Onthophagus sagittarius genomic DNA,Indiana University,Onthophagus sagittarius isolate:EAUS Genome sequencing,41095.14,Osag_HiC,Hi-C,GENOMIC,SRX20209883,https://www.ncbi.nlm.nih.gov/sra/SRX20209883[accn]
Onthophagus sagittarius,PacBio Hifi reads of Onthophagus sagittarius genomic DNA,Indiana University,Onthophagus sagittarius isolate:EAUS Genome sequencing,8869.2,Osag_ccs,WGS,GENOMIC,SRX20209882,https://www.ncbi.nlm.nih.gov/sra/SRX20209882[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,622.02,GSF1556-81-OsagPHH-large_S48_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782598,https://www.ncbi.nlm.nih.gov/sra/SRX7782598[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,561.16,GSF1556-80-OsagPHH-large_S47_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782597,https://www.ncbi.nlm.nih.gov/sra/SRX7782597[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,642.3,GSF1556-76-OsagPHH-large_S46_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782596,https://www.ncbi.nlm.nih.gov/sra/SRX7782596[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,510.04,GSF1556-75-OsagPHH-large_S45_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782595,https://www.ncbi.nlm.nih.gov/sra/SRX7782595[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,471.22,GSF1556-74-OsagPHH-large_S44_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782594,https://www.ncbi.nlm.nih.gov/sra/SRX7782594[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,563.05,GSF1556-73-OsagPHH-large_S43_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782593,https://www.ncbi.nlm.nih.gov/sra/SRX7782593[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,538.32,GSF1556-72-OsagPHH-small_S42_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782592,https://www.ncbi.nlm.nih.gov/sra/SRX7782592[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,479.34,GSF1556-71-OsagPHH-small_S41_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782591,https://www.ncbi.nlm.nih.gov/sra/SRX7782591[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,569.67,GSF1556-69-OsagPHH-small_S40_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782589,https://www.ncbi.nlm.nih.gov/sra/SRX7782589[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,562.29,GSF1556-68-OsagPHH-small_S39_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782588,https://www.ncbi.nlm.nih.gov/sra/SRX7782588[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,631.3,GSF1556-65-OsagPHH-small_S38_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782587,https://www.ncbi.nlm.nih.gov/sra/SRX7782587[accn]
Onthophagus sagittarius,Onthophagus sagittarius: posterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,577.28,GSF1556-64-OsagPHH-small_S37_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782586,https://www.ncbi.nlm.nih.gov/sra/SRX7782586[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,582.78,GSF1556-60-OsagAHH-large_S36_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782585,https://www.ncbi.nlm.nih.gov/sra/SRX7782585[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,626.67,GSF1556-59-OsagAHH-large_S35_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782584,https://www.ncbi.nlm.nih.gov/sra/SRX7782584[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,770.05,GSF1556-55-OsagAHH-large_S34_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782583,https://www.ncbi.nlm.nih.gov/sra/SRX7782583[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,646.96,GSF1556-54-OsagAHH-large_S33_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782582,https://www.ncbi.nlm.nih.gov/sra/SRX7782582[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,604.87,GSF1556-53-OsagAHH-large_S32_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782581,https://www.ncbi.nlm.nih.gov/sra/SRX7782581[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from high nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,565.27,GSF1556-52-OsagAHH-large_S31_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782580,https://www.ncbi.nlm.nih.gov/sra/SRX7782580[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,530.21,GSF1556-51-OsagAHH-small_S30_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782578,https://www.ncbi.nlm.nih.gov/sra/SRX7782578[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,567.85,GSF1556-50-OsagAHH-small_S29_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782577,https://www.ncbi.nlm.nih.gov/sra/SRX7782577[accn]
Onthophagus sagittarius,Onthophagus sagittarius: anterior dorsal head epithelium from low nutrition pupa,Indiana University,Nutrition-responsive horn development in horned beetles,592.4,GSF1556-48-OsagAHH-small_S28_R1_001,RNA-Seq,TRANSCRIPTOMIC,SRX7782576,https://www.ncbi.nlm.nih.gov/sra/SRX7782576[accn]
