Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_111,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.73,HU3_111,RAD-Seq,GENOMIC,SRX7816821,https://www.ncbi.nlm.nih.gov/sra/SRX7816821[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_110,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.97,HU3_110,RAD-Seq,GENOMIC,SRX7816820,https://www.ncbi.nlm.nih.gov/sra/SRX7816820[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_109,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,16.95,HU3_109,RAD-Seq,GENOMIC,SRX7816819,https://www.ncbi.nlm.nih.gov/sra/SRX7816819[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_108,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,17.44,HU3_108,RAD-Seq,GENOMIC,SRX7816818,https://www.ncbi.nlm.nih.gov/sra/SRX7816818[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: HU3_107,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.77,HU3_107,RAD-Seq,GENOMIC,SRX7816816,https://www.ncbi.nlm.nih.gov/sra/SRX7816816[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1950_124,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,25.15,1950_124,RAD-Seq,GENOMIC,SRX7816979,https://www.ncbi.nlm.nih.gov/sra/SRX7816979[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1950_123,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.38,1950_123,RAD-Seq,GENOMIC,SRX7816978,https://www.ncbi.nlm.nih.gov/sra/SRX7816978[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1950_122,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,38.22,1950_122,RAD-Seq,GENOMIC,SRX7816977,https://www.ncbi.nlm.nih.gov/sra/SRX7816977[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1950_098,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.73,1950_098,RAD-Seq,GENOMIC,SRX7816976,https://www.ncbi.nlm.nih.gov/sra/SRX7816976[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1950_097,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,30.07,1950_097,RAD-Seq,GENOMIC,SRX7816974,https://www.ncbi.nlm.nih.gov/sra/SRX7816974[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1950_096,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.48,1950_096,RAD-Seq,GENOMIC,SRX7816973,https://www.ncbi.nlm.nih.gov/sra/SRX7816973[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1825_136,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,34.35,1825_136,RAD-Seq,GENOMIC,SRX7816948,https://www.ncbi.nlm.nih.gov/sra/SRX7816948[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1825_135,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,19.14,1825_135,RAD-Seq,GENOMIC,SRX7816947,https://www.ncbi.nlm.nih.gov/sra/SRX7816947[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1825_131,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,37.19,1825_131,RAD-Seq,GENOMIC,SRX7816946,https://www.ncbi.nlm.nih.gov/sra/SRX7816946[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1825_095,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.58,1825_095,RAD-Seq,GENOMIC,SRX7816945,https://www.ncbi.nlm.nih.gov/sra/SRX7816945[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1825_094,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.24,1825_094,RAD-Seq,GENOMIC,SRX7816944,https://www.ncbi.nlm.nih.gov/sra/SRX7816944[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: 1825_093,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,29.15,1825_093,RAD-Seq,GENOMIC,SRX7816943,https://www.ncbi.nlm.nih.gov/sra/SRX7816943[accn]
Deltochilum tessellatum,ddRADseq of Deltochilum tessellatum: HU4_190,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,15.95,HU4_190,RAD-Seq,GENOMIC,SRX7816899,https://www.ncbi.nlm.nih.gov/sra/SRX7816899[accn]
